cluster,METEOR_base,count,METEOR_aug,METEOR_delta
196,39.14517195767196,3,43.38445136952599,4.239279411854028
240,38.987962210483545,2,41.26330967169477,2.2753474612112257
205,38.85554008763971,4,26.998984608704006,-11.856555478935704
11,38.81937943724361,11,49.43504382332712,10.615664386083509
-1,38.81631997235653,4226,41.21903378568412,2.402713813327587
23,38.7122212454963,8,43.95028654321965,5.238065297723345
233,38.66261954722241,32,40.71789668114472,2.05527713392231
9,38.635746908751656,9,38.76662767830047,0.130880769548817
34,38.28352316250396,9,40.58094929796557,2.297426135461606
138,38.24557358845973,12,44.49226164370838,6.246688055248654
223,38.23538446692029,6,40.34071855408085,2.105334087160564
291,38.084382928683446,8,45.83244191911491,7.748058990431467
247,37.9071067958435,16,41.159516345637925,3.2524095497944288
199,37.88761386350552,10,43.45299837375522,5.5653845102497
253,37.69518268336789,9,49.17413014137857,11.47894745801068
129,37.62423429207676,15,32.15229006768211,-5.4719442243946474
262,37.595186442809535,2,43.802221888566784,6.207035445757249
71,37.58526065705943,3,42.00001335511149,4.414752698052062
181,37.282699539474805,29,38.08096553621027,0.7982659967354664
198,37.19304415176479,8,44.48181055802188,7.288766406257089
103,37.15774040207251,3,34.09296805553521,-3.0647723465373033
86,37.13455603499722,12,45.50481826151832,8.370262226521099
203,36.96615946164293,8,48.32967072777521,11.363511266132278
175,36.78388830367242,11,42.561985013152025,5.778096709479605
271,36.76470588235294,1,14.851485148514849,-21.913220733838095
219,36.651385155723865,13,33.57130927146027,-3.080075884263593
139,36.63168223602021,2,28.190595387091008,-8.441086848929203
29,36.60206906083107,6,47.60865191000735,11.006582849176283
274,36.54340065118499,3,40.53828588817144,3.9948852369864483
242,36.48877371132882,31,41.22695788432037,4.738184172991552
53,36.40357300139417,4,35.32280515162012,-1.0807678497740483
260,36.26433556135717,8,43.483942514751135,7.2196069533939635
118,36.22484566902183,8,40.14858256264687,3.9237368936250405
217,36.12994626871382,10,49.439723071495045,13.309776802781222
105,36.09646048453281,7,36.863846218996265,0.7673857344634527
27,36.083996364130975,6,37.78145309565869,1.6974567315277156
230,35.92444976010847,4,37.38453101674644,1.4600812566379702
21,35.68712966259864,3,53.875246483942135,18.188116821343492
98,35.61616385289594,16,37.92288420865569,2.306720355759751
36,35.584965071682056,6,45.742328781006826,10.15736370932477
272,35.49458201403578,9,56.49938271932093,21.00480070528515
58,35.43111718115437,34,44.37806515474003,8.946947973585658
226,35.298662015380565,3,32.977744995419144,-2.3209170199614206
263,35.28135628340335,3,47.85480538742405,12.573449104020703
171,35.0617193969538,4,41.90800444748958,6.8462850505357835
57,35.04438131595079,40,33.89086610698477,-1.1535152089660201
264,35.043937822428006,4,35.77239589040869,0.7284580679806822
165,34.996394174525186,11,45.948882826486255,10.952488651961069
178,34.97948824920039,2,44.51964289146437,9.540154642263985
7,34.9707710175283,38,42.68694092488048,7.716169907352182
215,34.928693003736974,3,48.14410827586334,13.215415272126364
120,34.90505208768179,24,33.23991139712385,-1.6651406905579407
124,34.84345856627692,11,31.781129333735294,-3.0623292325416287
106,34.79253826644534,11,41.10336647603675,6.310828209591406
151,34.76641405405571,3,33.1031452806952,-1.6632687733605067
26,34.74658161769455,6,38.34272066063367,3.5961390429391145
80,34.4072287053763,8,55.09747638940029,20.690247684023994
216,34.35638638171317,3,37.1414765727879,2.7850901910747297
143,34.19635274790121,28,49.322120950926426,15.125768203025217
83,34.1901302191307,15,36.23195190046348,2.0418216813327774
121,34.151965073839925,6,32.198328843197,-1.9536362306429282
85,33.692326169577846,17,39.40614969073559,5.713823521157742
47,33.69140184765785,9,38.295985421768975,4.604583574111125
54,33.66174322350268,2,31.32826997225725,-2.333473251245433
101,33.5565010566886,21,30.265105830096267,-3.2913952265923356
190,33.46831188135536,5,43.389296815019726,9.920984933664364
45,33.46250374545275,13,36.4327360001772,2.9702322547244506
229,33.412667615957346,5,30.42360838581645,-2.989059230140896
257,33.13009878651751,5,37.22029313021401,4.090194343696503
248,32.980591899824724,7,39.13102175680431,6.150429856979585
168,32.54022731823851,10,36.438669724613646,3.898442406375139
235,32.52551020408164,2,41.93131038647343,9.405800182391786
33,32.5160582907777,41,33.77157208412194,1.2555137933442424
214,32.49270841311541,8,42.16512010264445,9.672411689529042
259,32.48990390370979,19,33.91670221730717,1.4267983135973807
55,32.35692486572655,10,37.03241937637564,4.675494510649095
207,32.29528004793962,6,31.36313695863844,-0.9321430893011815
116,32.288699028476465,8,30.41162855032085,-1.8770704781556162
24,32.250537395035096,5,34.68486758051728,2.4343301854821817
150,32.11009174311927,1,70.81196581196582,38.70187406884655
245,32.10894890239954,6,46.500509488876354,14.391560586476814
60,32.056646972708684,3,23.5572945710254,-8.499352401683286
79,32.0553340335198,13,32.582247309044206,0.5269132755244073
144,32.006169740401226,25,31.9425027484875,-0.0636669919137276
102,31.939049391235372,15,31.134603581943797,-0.8044458092915754
56,31.91827595208025,9,33.27733406036572,1.359058108285467
236,31.584362139917697,1,40.24496937882765,8.66060723890995
68,31.543340662089168,5,39.79174400273917,8.248403340650004
225,31.46644100120893,6,34.238263285093865,2.7718222838849336
100,31.33387352203161,38,35.624915876448206,4.2910423544165965
227,31.23184015413785,23,31.398886043466124,0.1670458893282749
75,31.057858692445297,6,43.52405867400319,12.466199981557896
228,30.822390273357247,6,28.736842598840443,-2.0855476745168033
